"name","start time","end time","playtime","deck","notes"
"6/19/21","6/19/21, 9:10:43 AM EDT","6/19/21, 9:14:48 AM EDT","00:04:05","",""
"Track 1","9:10:43 AM EDT","9:13:12 AM EDT","00:02:29","offline",""
"Amsterdam","9:13:12 AM EDT","9:14:16 AM EDT","00:01:04","offline",""
"The Stable Song","9:14:16 AM EDT","9:14:48 AM EDT","00:00:32","offline",""
